Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.106842188347999,0.0702342005764492,-0.118835588512777,0,0,0,2.99352352694058,0.00577438473970017,-4.2090718619757E-07,-3.47527459937983E-07,0.0115509880946549,1.73790629095612E-05,0.00655130915103693,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140331,0.00297622851896683,0,0,0,0.0727928435161986,2.20927876796312E-05,-1.64845302056393E-08,-1.56454773175215E-07,1.62632133784213E-05,2.96411876511166E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,0.20441,0.054044,-0.014503,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,3.46944695195361E-18,0,0,0,0.767080911081153,0.00116426102407189,4.45758864315272E-22,-1.82994146746971E-20,0.000639661580367031,-1.35525271560688E-20,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707057,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056316E-08,1.56454773175213E-07,1.62632133784213E-05,-2.9641187651042E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.020784,0.10307,0.0027844,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.767080911081152,0.00116426102407189,-1.2315168370675E-36,4.60638074444741E-39,0.000639661580367031,8.00462841683581E-39,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-3.54143714353938E-10,-0.0259601646992602,-8.55974152669248E-10,0,0,0,0.109625704314989,9.47070510683515E-05,-7.13314123313254E-13,1.36318503328924E-13,7.1990527735735E-05,-4.59244589910893E-12,9.47424928023496E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,,LBS,fixed,0.25,0.202,0.0087742,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
LBW,-6.93889390390723E-18,6.67409058084933E-05,-2.77555756156289E-17,0,0,0,0.303329317514427,0.0001093198860322,1.17108889725839E-37,0,0.000109926544667228,-3.95643608811853E-38,0.0001093198860322,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.055074,0,0,-0.31141,-1.5708,LBS,0,1,0,,,,,,,,,,,,
RBS,-3.54143693537257E-10,-0.0259601646992602,-8.55974180424823E-10,0,0,0,0.10962570431499,9.47070510683514E-05,-7.13314126238957E-13,1.36318506911893E-13,7.19905277357352E-05,-4.59244590061975E-12,9.47424928023498E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,,RBS,fixed,-0.040003,0.202,0.0087742,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
RBW,6.93889390390723E-18,-6.93889390390723E-18,-2.77555756156289E-17,0,0,0,0.303329317514427,0.0001093198860322,3.09723775777832E-39,7.04182919818751E-41,0.000109926544667228,1.94881499106946E-40,0.0001093198860322,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.055074,0,0,0,-1.5708,RBS,0,1,0,,,,,,,,,,,,
fcam,-0.0115544746517359,-2.64429642850283E-06,0.00129029302682174,0,0,0,0.0436119957238952,2.35707061906175E-05,-1.01842273865709E-09,2.17585832536658E-08,4.29479050056035E-06,-8.85018118759433E-10,2.21058153511886E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,0.105,0.0038823,0.15182,0,0.2618,-1.5708,base_link,0,0,0,,,,,,,,,,,,
